"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Cd79a",2.60119158180978e-284,3.61431042908679,0.923,0.022,7.33666085649449e-280,0,3.50711909207546,0.982,0.008,0,0,3.5796623002533,0.98,0.007,0,2.60119158180978e-284,0
"H2-Aa",3.59646689100548e-248,3.85997981428688,0.927,0.054,1.0143834866081e-243,4.22298800479377e-276,4.08795363340285,0.991,0.048,1.19109376675208e-271,0,3.87036249769303,0.978,0.051,0,3.59646689100548e-248,0
"Cd74",1.55075424051803e-239,4.12960014491063,0.973,0.091,4.37390233538111e-235,2.08422078503355e-253,4.03098922930911,1,0.075,5.87854472418713e-249,0,4.01861392984718,0.998,0.074,0,1.55075424051803e-239,0
"H2-Eb1",1.23320443445612e-223,3.98375758652031,0.881,0.063,3.4782531073835e-219,1.3599914799811e-271,3.8846006200999,0.977,0.047,3.83585596928668e-267,0,3.8068537040463,0.967,0.047,0,1.23320443445612e-223,0
"Cd79b",6.53404936783699e-189,1.7549887549175,0.602,0.004,1.84292862419842e-184,1.59690658851768e-225,1.47813803741054,0.696,0.008,4.50407503291413e-221,0,1.69229224508982,0.653,0.002,0,6.53404936783699e-189,0
"H2-Ab1",5.45957764547282e-187,3.05656151403648,0.778,0.057,1.53987387490561e-182,1.45744315360872e-221,3.07602367910723,0.963,0.093,4.11071841475339e-217,0,2.85756725990828,0.909,0.057,0,5.45957764547282e-187,0
"Ly6d",3.58740517226228e-185,2.55808723382673,0.625,0.011,1.01182762883658e-180,1.00860714775612e-302,2.46538504260453,0.889,0.007,2.84477646024613e-298,0,2.56673430722791,0.807,0.007,0,3.58740517226228e-185,0
"Fcmr",1.79966043702042e-132,2.22786280440534,0.444,0.006,5.07594226261609e-128,1.66777183565627e-191,2.25450438071676,0.608,0.008,4.7039504624685e-187,0,2.07495949601758,0.646,0.003,0,1.79966043702042e-132,0
"H2-DMb2",3.75994210154323e-91,2.01711286931822,0.421,0.032,1.06049166974027e-86,7.88336036006795e-148,1.88632137245421,0.733,0.081,2.22350178955716e-143,0,2.08586981700628,0.698,0.036,0,3.75994210154323e-91,0
"Cd19",5.34004193103304e-90,1.51957538797184,0.31,0.004,1.50615882664787e-85,5.4846029609824e-144,1.53652636591422,0.521,0.017,1.54693226514509e-139,0,1.54027161995352,0.486,0.003,0,5.34004193103304e-90,0
"Ms4a1",1.56944728099273e-82,1.38698687965867,0.284,0.004,4.42662605603999e-78,2.71975405261646e-178,1.47020891792608,0.553,0.005,7.67106630540472e-174,0,1.83713787471951,0.638,0.002,0,1.56944728099273e-82,0
"H2-Ob",5.66180398993593e-80,1.35302303387764,0.287,0.006,1.59691181536143e-75,5.76047218208545e-169,1.6570854225106,0.576,0.014,1.6247411789572e-164,0,1.65270535281266,0.553,0.015,0,5.66180398993593e-80,0
"Fcrla",9.09038253690824e-58,1.5841876085682,0.238,0.01,2.56394239453497e-53,2.58057250567882e-132,1.50915116233988,0.461,0.011,7.27850475226712e-128,0,1.46539361316793,0.501,0.003,0,9.09038253690824e-58,0
