"gene","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj"
"Cyp11a1",0,1.39034320826128,0.75,0.001,0
"Fcer1a",0,1.94060609486565,0.875,0.002,0
"Gata2",0,4.06482555932113,1,0,0
"Mcpt8",5.13538267356832e-283,1.26823570164095,0.375,0,1.44843468307995e-278
"Ms4a2",3.98869874751688e-236,1.68528853292839,0.625,0.001,1.12501248173714e-231
"Il6",3.57555833406269e-234,4.71265340367768,1,0.005,1.00848622812238e-229
"Cpa3",7.73383784029848e-216,1.67817702978655,0.5,0.001,2.18132896285619e-211
"Cd200r3",4.10954841042963e-155,2.10141711268612,0.75,0.005,1.15909812916168e-150
"Csrp3",1.05774723946766e-126,0.48102950305128,0.25,0,2.98337608891852e-122
"Alox15",3.83627439769525e-122,1.5542832154235,0.375,0.001,1.08202119386994e-117
"Npl",5.89175196707591e-122,0.579693864284014,0.375,0.001,1.66176864231376e-117
"Gm13604",1.34667100763173e-95,0.299100031352281,0.125,0,3.79828557702529e-91
"Gm8054",1.34667100763173e-95,0.299100031352281,0.125,0,3.79828557702529e-91
"Igfbp7",2.85568301345538e-95,0.461504720065895,0.25,0.001,8.05445393945089e-91
"Fads1",1.85223042665014e-66,0.995127125433009,0.5,0.006,5.22421591836671e-62
"Rab4a",9.65527253989457e-64,0.284810346958585,0.25,0.001,2.72326961987726e-59
"Adgrg1",3.95954790851715e-61,0.346674379986971,0.375,0.003,1.11679048759726e-56
"Gpr34",2.48087988133094e-57,0.490700214395273,0.375,0.003,6.99732170529392e-53
"Slc24a3",3.34696126144132e-57,0.487895951960692,0.375,0.003,9.44010423789525e-53
"Gm30341",8.09678334479727e-55,0.270213281191341,0.25,0.001,2.28369774240007e-50
"Slc18a2",9.3383988837e-55,0.290565404171176,0.25,0.001,2.63389540514758e-50
"Sytl3",9.34360774903938e-54,0.413707829704924,0.5,0.007,2.63536456561656e-49
"Mboat1",1.93147948460664e-52,1.21703777568311,0.5,0.007,5.44773788633302e-48
"Orm1",1.5249230313148e-48,0.298562100571207,0.125,0,4.3010454098234e-44
"Spz1",1.5249230313148e-48,0.455026207259205,0.125,0,4.3010454098234e-44
"Gm16147",4.56106617715228e-48,0.289772945873429,0.25,0.002,1.2864487152658e-43
"Rcn1",2.59358413351532e-45,0.491115508562693,0.375,0.005,7.31520404857995e-41
"Padi2",8.55639450317515e-45,0.834167527713818,0.625,0.014,2.41333106962055e-40
"Samd13",5.41811356371477e-43,0.468703643923688,0.375,0.005,1.52817893064575e-38
"E2f8",1.66429929431385e-40,0.916409866097565,0.5,0.01,4.69415615961223e-36
"Tbc1d4",4.74706386206698e-39,1.67192399205902,0.625,0.017,1.33890936229599e-34
"Cdh1",6.98873505302691e-39,1.19642861410725,0.5,0.01,1.97117272170624e-34
"Il4",7.96195188230027e-39,0.569305781056887,0.25,0.002,2.24566852840279e-34
"Oit3",9.25000996291122e-39,0.400413185180857,0.25,0.002,2.60896531003911e-34
"Hgf",2.1265279796634e-33,1.43619889331322,0.375,0.007,5.99787216664063e-29
"Slc7a8",4.3791662820698e-33,1.08189192836468,0.5,0.012,1.23514384985779e-28
"Gja6",8.04419610341736e-33,0.297836986849518,0.125,0.001,2.26886551096887e-28
"Gm14082",8.04419610341736e-33,0.454115374852223,0.125,0.001,2.26886551096887e-28
"Gm14977",8.04419610341736e-33,0.298148469895985,0.125,0.001,2.26886551096887e-28
"Krt27",8.04419610341736e-33,0.298357255364608,0.125,0.001,2.26886551096887e-28
"1700024P16Rik",8.74533619650044e-33,0.297958228890643,0.125,0.001,2.46662207422295e-28
"C3ar1",1.70557251167957e-32,1.12551319855133,0.5,0.012,4.81056726919222e-28
"Ccl9",1.57566447530683e-30,3.09656321981046,1,0.059,4.44416165260292e-26
"Ccl3",8.48326504122334e-30,4.69928057941008,1,0.064,2.39270490487704e-25
"Inpp5b",9.04874102693192e-30,1.375413245207,0.75,0.032,2.55219740664615e-25
"Nqo2",3.18284855800811e-29,0.540302316902054,0.5,0.014,8.97722435786187e-25
"Tmem64",3.7407829728248e-29,1.30657773194393,0.625,0.023,1.05508783748523e-24
"Cd7",7.59719562757637e-29,1.58822341604232,0.625,0.023,2.14278902675792e-24
"Ept1",4.23671523967657e-27,0.587974137742323,0.375,0.008,1.19496553335078e-22
