"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Ear2",2.68475511881896e-172,2.42273932241616,0.59,0.01,7.57235181262888e-168,1.09216245614151e-179,1.58131256475496,0.561,0.004,3.08044420754713e-175,0,2.56086882963899,0.609,0.006,0,2.68475511881896e-172,0
"Ear1",6.43817118207285e-160,2.350339545062,0.545,0.009,1.81588618190365e-155,1.29624270728059e-179,1.41523671865765,0.561,0.004,3.65605255588491e-175,0,2.38996619584513,0.586,0.005,0,6.43817118207285e-160,0
"Ctss",2.55958580791524e-81,1.87559047301441,0.579,0.074,7.21931177122495e-77,7.98083351841441e-107,2.32899390903104,0.929,0.129,2.25099409386879e-102,0,2.27556400746922,0.949,0.141,0,2.55958580791524e-81,0
"Chil3",1.63701489175317e-132,2.1042366374093,0.444,0.006,4.61720050218981e-128,2.77545741257515e-84,2.59026384883618,0.388,0.014,7.82817763216822e-80,1.80375112908764e-290,3.39975350226214,0.493,0.011,5.08748005959168e-286,2.77545741257515e-84,5.4112533872631e-290
"Klf4",2.10600478349894e-61,0.966117656786268,0.287,0.015,5.93998649185875e-57,6.38320772219132e-108,0.799142303010667,0.531,0.022,1.80038373804406e-103,2.42445074738296e-288,1.11373314099815,0.538,0.017,6.83816333299364e-284,2.10600478349894e-61,7.27335224214966e-288
"S100a4",1.48689167179031e-116,1.69017241286326,0.433,0.01,4.19377796028456e-112,3.52074783712765e-139,1.64199460474645,0.571,0.015,9.93026927461855e-135,5.79765833963776e-277,1.33627052443571,0.496,0.013,1.63522953469483e-272,1.48689167179031e-116,1.73929750189148e-276
"Anxa5",7.40636569350155e-55,1.37955185844925,0.32,0.028,2.08896544385211e-50,1.41459639974638e-69,1.17949145459523,0.52,0.045,3.98986914548467e-65,2.13298526590273e-267,1.47573236173468,0.654,0.046,6.01608494247866e-263,7.40636569350155e-55,6.39895579770869e-267
"Pld4",1.53514842767253e-59,0.611037630314647,0.32,0.022,4.32988614025036e-55,5.9660872078271e-145,0.89793335241834,0.592,0.015,1.68273489696763e-140,9.55712513377763e-264,0.781792392904897,0.487,0.014,2.69558714398198e-259,1.53514842767253e-59,2.86713754013354e-263
"Ctsb",1.2155680741184e-68,1.79269843575965,0.545,0.08,3.42850975305096e-64,2.67802103951261e-90,2.32100632458906,0.908,0.147,7.55335834194532e-86,2.3407229981806e-255,1.83271919315811,0.836,0.118,6.60200921636839e-251,1.2155680741184e-68,7.02216899454258e-255
"Fn1",2.86191298171357e-83,1.25062172852335,0.287,0.004,8.07202556492313e-79,1.12508856223125e-71,1.56459921532459,0.316,0.01,3.17331228977325e-67,5.17839709325038e-245,1.46525003769604,0.38,0.004,1.46056690015127e-240,1.12508856223125e-71,1.55351912797512e-244
"Rassf4",1.68867249367669e-52,0.762913581897487,0.208,0.006,4.76290076841511e-48,5.76469993298246e-86,0.591326108694152,0.398,0.014,1.6259336160977e-81,8.46729869701619e-235,0.702074996432227,0.414,0.009,2.38820159749342e-230,1.68867249367669e-52,2.54018960910503e-234
"Ahnak",1.43793987519768e-61,1.14386857603878,0.404,0.042,4.05570941799506e-57,2.82231531682571e-54,1.47780779677275,0.633,0.099,7.9603403511069e-50,3.83759452182091e-231,1.45615927581475,0.657,0.061,1.08239353487959e-226,2.82231531682571e-54,1.15127835654634e-230
"Ace",5.75082131936251e-74,0.978855952091235,0.264,0.005,1.6220191531262e-69,7.54282624943308e-132,1.34680655461608,0.5,0.01,2.1274541436526e-127,1.90715441378163e-228,1.15121378706442,0.346,0.002,5.37912902407109e-224,5.75082131936251e-74,5.72146324134523e-228
"Abhd12",5.61486238736163e-47,0.660000378783585,0.23,0.013,1.58367193635535e-42,1.33329073353215e-52,0.592265771253282,0.276,0.013,3.76054651392743e-48,2.21674917191468e-228,0.816382708803321,0.445,0.015,6.25234103938536e-224,5.61486238736163e-47,6.65024751574421e-228
"Cybb",9.09901459498565e-84,1.73159212355859,0.663,0.097,2.5663770665157e-79,2.17368448055564e-71,1.99030296341234,0.878,0.173,6.1308770774072e-67,3.90920191681112e-225,2.11067006586432,0.912,0.204,1.10259040063658e-220,2.17368448055564e-71,1.17276057504342e-224
"Prdx1",3.31263900437319e-72,1.04029274903538,0.444,0.042,9.34329831183458e-68,3.18989353472919e-63,0.965907034223871,0.582,0.066,8.99709471470368e-59,1.06337022446186e-221,1.26307896186252,0.686,0.075,2.99923571809468e-217,3.18989353472919e-63,3.19011067338551e-221
"Lrp1",1.47131034219179e-57,0.535709511979795,0.275,0.015,4.14983082015195e-53,5.93170208401164e-98,0.66246731808582,0.612,0.04,1.67303657279548e-93,1.22694154657122e-207,0.472317393625908,0.351,0.006,3.46058863210412e-203,1.47131034219179e-57,3.6808246397137e-207
"Plxnb2",4.30009250779157e-51,0.706341608409334,0.202,0.006,1.21284109182261e-46,2.95963777437182e-81,0.572576318792484,0.439,0.022,8.34765834261571e-77,1.55737013307026e-207,0.622892807346771,0.337,0.005,4.39256246032466e-203,4.30009250779157e-51,4.67211039921078e-207
"Clec4a1",9.22059259860032e-29,0.586697438314722,0.163,0.013,2.60066814243522e-24,1.49873690442074e-112,1.30712565978846,0.52,0.019,4.22718743891869e-108,6.84322669683088e-200,0.926060658063863,0.405,0.016,1.93013208984115e-195,9.22059259860032e-29,2.05296800904929e-199
"Tppp3",1.51063711918482e-49,0.775496008679432,0.213,0.009,4.2607519946608e-45,8.98792564963666e-82,0.744342025569933,0.367,0.012,2.53504442948002e-77,2.36652798257478e-199,0.767628433196916,0.354,0.008,6.67479217485216e-195,1.51063711918482e-49,7.09958394772434e-199
"Gsto1",1.72525075427688e-22,0.324512496333276,0.118,0.008,4.86606975243794e-18,6.77323435878509e-52,0.371717603003476,0.276,0.013,1.91039075089533e-47,3.1893432447264e-193,0.641181405254257,0.371,0.012,8.99554262175081e-189,1.72525075427688e-22,9.56802973417935e-193
"Ifi30",3.08049718607099e-33,0.762477428826621,0.331,0.058,8.68854231331324e-29,3.47284965055646e-50,0.771256849493705,0.5,0.06,9.7951724393945e-46,5.54219574206065e-193,0.976898880633214,0.592,0.058,1.56317630904821e-188,3.08049718607099e-33,1.66265872261822e-192
"Ctsc",4.47395198888518e-14,0.999264484881264,0.135,0.024,1.26187815846507e-09,9.43127910257381e-45,1.072540041277,0.418,0.047,2.66009227088094e-40,3.55020597433006e-181,1.27807247294025,0.547,0.052,1.00133559505979e-176,4.47395198888518e-14,1.06506179229902e-180
"Sdc3",4.86836493729651e-43,0.470607521050495,0.163,0.004,1.37312233056448e-38,4.98936412088065e-53,0.437844534307631,0.286,0.014,1.40725015029439e-48,1.03617817757045e-180,0.416345128279171,0.283,0.003,2.92254054983747e-176,4.86836493729651e-43,3.10853453271141e-180
"Atp6v0d2",5.45415718152817e-41,0.508254329565282,0.152,0.003,1.53834503305002e-36,5.61136048655215e-20,0.316126422201596,0.112,0.006,1.58268422523203e-15,8.73818786316717e-180,0.61542660355014,0.263,0.001,2.4646058868063e-175,5.61136048655215e-20,2.62145635895015e-179
