"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Gzma",1.07763734208867e-249,4.7806306458324,0.84,0.003,3.03947612336109e-245,8.81091837528489e-298,4.59545012480903,0.92,0.006,2.4851195277491e-293,0,4.35418465797177,0.814,0.002,0,1.07763734208867e-249,0
"Ccl5",1.45406511863546e-143,4.59348942574903,0.88,0.016,4.10119066711133e-139,1.09952864830356e-301,4.37142743405352,0.989,0.011,3.10122055254018e-297,0,4.5165935657555,0.958,0.012,0,1.45406511863546e-143,0
"Klra13-ps",2.24692915717708e-131,1.26625562074527,0.44,0.001,6.33746368781796e-127,4.29173714682758e-123,0.957217441363772,0.379,0.002,1.21048446226272e-118,0,1.36869354833746,0.449,0.001,0,4.29173714682758e-123,0
"Nkg7",7.80272990597945e-112,2.52273308955141,0.72,0.014,2.2007599699815e-107,6.45760180881358e-217,2.01533964731812,0.874,0.022,1.82136659017587e-212,0,2.09277563679492,0.788,0.01,0,7.80272990597945e-112,0
"Klre1",4.36196857086778e-101,2.05623245875868,0.4,0.003,1.23029323541326e-96,1.30855159782255e-201,2.0073809463026,0.678,0.008,3.69076978165851e-197,0,1.79934309372759,0.653,0.003,0,4.36196857086778e-101,0
"Gzmb",8.20782969384454e-101,3.14496654289234,0.4,0.003,2.31501836514885e-96,8.38948119197374e-225,2.96578231256735,0.69,0.004,2.36625317019619e-220,0,2.95980980776838,0.669,0.003,0,8.20782969384454e-101,0
"Klrb1c",5.14145506374943e-63,1.94210585504225,0.44,0.01,1.45014740073053e-58,1.52577827635565e-150,2.1672792580587,0.747,0.033,4.3034576284611e-146,0,2.20475308668448,0.72,0.007,0,5.14145506374943e-63,0
"Il2rb",2.11681136628665e-60,2.03852365495265,0.32,0.004,5.9704664586115e-56,3.26713872724306e-134,1.88556653044005,0.644,0.024,9.21496478018904e-130,0,1.76831631032664,0.678,0.009,0,2.11681136628665e-60,0
"Klrd1",1.06773126972795e-35,1.4274864411365,0.2,0.003,3.01153604626768e-31,6.76250783366152e-147,2.08267204145969,0.632,0.018,1.90736533448423e-142,0,1.93594053807092,0.72,0.017,0,1.06773126972795e-35,0
"Klrk1",2.09404656701456e-28,1.01541220138035,0.24,0.008,5.90625834226456e-24,1.03263028985378e-131,1.39329440051777,0.529,0.012,2.91253373253258e-127,0,1.45672600573197,0.61,0.004,0,2.09404656701456e-28,0
"Ncr1",1.4948314763246e-46,1.96533686822784,0.24,0.003,4.21617217897354e-42,1.35347115212397e-107,1.65010136051122,0.379,0.005,3.81746538456566e-103,5.33173258999913e-308,1.46107684154237,0.441,0.001,1.50381517700925e-303,1.4948314763246e-46,1.5995197769999e-307
"Klra9",1.22682657573695e-31,1.74985587856819,0.28,0.009,3.46026435686606e-27,2.56357026968318e-93,1.33889576849964,0.437,0.015,7.23054994564142e-89,2.62912921722404e-305,1.37837061069697,0.466,0.002,7.41545895718041e-301,1.22682657573695e-31,7.8873876516722e-305
"Klra7",1.54750398192093e-100,1.55023037464973,0.44,0.004,4.36473498100799e-96,5.29831275939988e-99,1.10966119635445,0.391,0.008,1.49438911378874e-94,9.33073513525181e-268,1.21231519267979,0.441,0.003,2.63173384489777e-263,5.29831275939988e-99,2.79922054057578e-267
"Serpinb9b",6.28198472368145e-19,0.761767576142784,0.12,0.003,1.77183379131435e-14,1.82111465267476e-90,0.954830491551204,0.345,0.006,5.13645387786917e-86,5.20623644667784e-263,1.34746947978128,0.441,0.004,1.46841898978548e-258,6.28198472368145e-19,1.5618709340034e-262
"Klra4",2.06789098026027e-99,1.19332769420004,0.28,0,5.8324865098241e-95,3.45147723039993e-114,1.10980465758572,0.391,0.004,9.73489152834301e-110,7.12348588718311e-251,1.38008633479201,0.356,0.001,2.00917919447999e-246,2.06789098026027e-99,2.13704576615502e-250
"Klri2",9.05251872519981e-26,0.709734788772038,0.16,0.003,2.55326290644261e-21,6.93881567290123e-45,0.644938494879586,0.23,0.009,1.95709296054179e-40,2.60059942252792e-243,1.32733484410952,0.407,0.003,7.33499067123999e-239,9.05251872519981e-26,7.80179826758442e-243
"Klra3",3.91573626655577e-39,1.45420313509209,0.36,0.013,1.10443341398205e-34,3.85065501974778e-69,1.30678205442942,0.402,0.022,1.08607724831986e-64,7.73652843974668e-230,1.35096816117749,0.517,0.012,2.18208784643055e-225,3.91573626655577e-39,2.32095853192425e-229
"Eomes",6.80398064539594e-18,1.19080264172934,0.16,0.006,1.91906274103393e-13,8.387371588111e-45,1.06740911206356,0.333,0.027,2.36565815642671e-40,1.15685391310901e-212,1.0589403986063,0.381,0.004,3.26290646192395e-208,6.80398064539594e-18,3.47056173932709e-212
"Prf1",6.62482744356855e-20,0.61759040505376,0.2,0.008,1.86853258045851e-15,4.20269690437178e-24,0.303510501476132,0.161,0.011,1.18537066187806e-19,1.23678586687363e-204,0.851075188598738,0.39,0.005,3.48835453751707e-200,6.62482744356855e-20,3.71035760062094e-204
"Klra8",5.47389665133e-15,1.26069207712935,0.2,0.012,1.54391255050763e-10,4.87322847640208e-55,0.9649359678127,0.448,0.042,1.37449409176921e-50,3.66553330992999e-204,1.5751296925812,0.508,0.015,1.03386367006575e-199,5.47389665133e-15,1.09965999297901e-203
"Cma1",2.88401129317217e-77,1.12027996610872,0.28,0.001,8.13435385239212e-73,2.10571748017376e-71,1.41926766022356,0.241,0.003,5.93917615283009e-67,3.8045377865293e-195,0.985841917741896,0.288,0.001,1.07306988269059e-190,2.10571748017376e-71,1.14136133595881e-194
"Sh2d2a",8.90919382775665e-14,1.19332685120164,0.2,0.013,2.51283811911876e-09,3.79039502180262e-69,1.12484990529151,0.448,0.029,1.06908091589943e-64,4.03950107459769e-169,1.22989812057186,0.449,0.014,1.13934127809028e-164,8.90919382775665e-14,1.21185032237932e-168
"Ms4a4b",8.97476507187878e-08,0.727727600743158,0.28,0.046,0.00253133248852341,8.85850493213935e-73,1.53022789931408,0.759,0.099,2.4985413161099e-68,9.10912496165176e-166,1.89087177292792,0.831,0.075,2.56922869543388e-161,8.97476507187878e-08,2.73273748849546e-165
"Lgals1",7.75208249541808e-20,2.12663634625144,0.4,0.038,2.18647486783267e-15,1.29720217179699e-65,1.0109055788869,0.46,0.034,3.65875872555342e-61,2.92276667460044e-164,1.67515011237865,0.669,0.046,8.24366340571053e-160,7.75208249541808e-20,8.76830002380111e-164
"Klrb1b",1.90313656626307e-15,0.848563550117561,0.16,0.007,5.367796685145e-11,3.61062545004972e-83,1.37800434804904,0.368,0.011,1.01837690818652e-78,3.81433930606896e-164,1.3448644665626,0.339,0.006,1.07583440127675e-159,1.90313656626307e-15,1.14430179182071e-163
"Klrg1",8.74624659864266e-36,0.986018493564209,0.2,0.003,2.46687885314716e-31,6.95406503129994e-62,0.840955872842505,0.195,0.001,1.96139404207815e-57,2.321864745611e-140,0.637436615093901,0.22,0.001,6.54881951499583e-136,8.74624659864266e-36,6.96559423683307e-140
"Lck",4.27414031007103e-13,1.36713426546862,0.36,0.045,1.20552127445553e-08,6.04596913638189e-72,1.76248367419912,0.644,0.067,1.70526559491651e-67,1.94924778041562e-132,1.5638817048228,0.636,0.051,5.49785336466225e-128,4.27414031007103e-13,5.84774334124681e-132
"Ctsw",3.10741494237699e-92,1.57396039494327,0.48,0.006,8.76446384497429e-88,1.38978403177968e-89,0.616784508579648,0.402,0.012,3.91988586163458e-85,3.29102723636873e-131,0.72993821032344,0.356,0.012,9.28234232017799e-127,1.38978403177968e-89,9.87308170910619e-131
"Ahnak",8.88403797019957e-12,1.73463204872652,0.44,0.077,2.50574290949479e-07,5.14522893984862e-86,2.29326403272053,0.793,0.094,1.4512118224843e-81,3.42315586212246e-128,1.86828339810046,0.814,0.097,9.6550111091164e-124,8.88403797019957e-12,1.02694675863671e-127
"Klrb1a",6.20273328541277e-20,0.614873569251157,0.2,0.008,1.74948092315067e-15,2.83422124948533e-39,0.398388217140146,0.195,0.008,7.99392103417338e-35,1.31086690871028e-125,0.551926042877904,0.178,0,3.69730011601734e-121,6.20273328541277e-20,3.93260072613086e-125
"Id2",2.94043320782055e-24,2.17582980306063,0.52,0.051,8.29349186265785e-20,7.97326313573087e-79,2.10405027923826,0.851,0.134,2.24885886743289e-74,2.65275619819304e-120,2.23400010722491,0.839,0.125,7.48209885700348e-116,2.94043320782055e-24,7.95826859457923e-120
