"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"S100a8",5.17975640300604e-238,4.94485188483479,0.975,0.132,1.46095029346785e-233,1.44974246299186e-236,4.99279823485443,0.995,0.166,4.08899861686855e-232,0,5.1874426846739,0.988,0.06,0,1.44974246299186e-236,0
"S100a9",1.65560293794996e-237,5.2149190194695,0.976,0.142,4.66962808648786e-233,9.63436976731236e-237,5.20342834840245,0.996,0.177,2.71737399287045e-232,0,5.27961497607935,0.984,0.063,0,9.63436976731236e-237,0
"Tmsb10",2.02147597422158e-235,-2.75414723811223,0.05,0.843,5.70157298529196e-231,2.17556370658222e-261,-2.21792042964989,0.085,0.918,6.13617743441515e-257,0,-2.26204595201124,0.045,0.869,0,2.02147597422158e-235,0
"Il1b",5.91412446359964e-230,3.6333822432639,0.961,0.09,1.66807880495828e-225,5.53075085761697e-224,3.70924262858396,0.973,0.131,1.55994827939087e-219,0,3.89832374200958,0.983,0.123,0,5.53075085761697e-224,0
"mt-Co2",1.45133220046754e-223,-3.30285244723536,0.252,0.963,4.0934824714187e-219,5.11365679914314e-239,-3.35453342065077,0.417,0.994,1.44230690019832e-234,0,-3.75035538449454,0.437,0.997,0,1.45133220046754e-223,0
"Rps19",1.72254512116897e-219,-2.57910486239356,0.092,0.851,4.85843851425707e-215,4.32374157216299e-226,-2.12493038481887,0.132,0.882,1.21951131042857e-221,0,-1.84718165902025,0.056,0.785,0,1.72254512116897e-219,0
"Rps18",1.48619003166057e-212,-2.65069503731801,0.113,0.858,4.19179898429863e-208,1.30504559354051e-228,-2.88811304450226,0.2,0.924,3.680881096581e-224,0,-2.671199964184,0.128,0.937,0,1.48619003166057e-212,0
"Rps24",1.73005192731305e-210,-2.55887854402268,0.167,0.888,4.87961146098645e-206,1.4949856727968e-226,-2.61876882229528,0.295,0.968,4.21660709012337e-222,0,-2.33011723432161,0.19,0.917,0,1.73005192731305e-210,0
"Csf3r",1.5237618722313e-206,2.59851326727949,0.919,0.11,4.29777036062837e-202,4.54868738739201e-212,2.30521545800301,0.971,0.216,1.28295727761392e-207,0,2.59183971502178,0.948,0.107,0,1.5237618722313e-206,0
"Rps28",2.34271213169004e-201,-2.49398135173742,0.173,0.881,6.60761956743176e-197,9.74561194093649e-221,-2.10359206563784,0.164,0.897,2.74874984794114e-216,0,-1.98465391270666,0.137,0.882,0,2.34271213169004e-201,0
