"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Thy1",1.15182380755826e-165,2.0377049911261,0.531,0.004,3.24871904921806e-161,1.30237332034168e-163,1.51670327545515,0.656,0.021,3.67334395002372e-159,0,1.75694967284347,0.641,0.012,0,1.30237332034168e-163,0
"Tcf7",3.80280135700702e-125,1.37829511845169,0.422,0.005,1.07258012274383e-120,2.05802984088575e-228,1.45273434510179,0.756,0.011,5.80467316621826e-224,0,1.40011942523981,0.606,0.007,0,3.80280135700702e-125,0
"Lef1",1.32975614078509e-56,1.76383377241265,0.273,0.013,3.75057719508433e-52,1.16120549902927e-117,1.59720547801737,0.519,0.022,3.27518011001206e-113,0,1.76042061470394,0.61,0.013,0,1.32975614078509e-56,0
"Il7r",1.40093963689953e-44,0.722187297451136,0.172,0.004,3.95135024587512e-40,7.52084302373171e-127,1.32945430106995,0.481,0.012,2.12125377484353e-122,1.9443601225992e-293,1.74772355094948,0.545,0.013,5.48406772579104e-289,1.40093963689953e-44,5.83308036779788e-293
"Lck",1.31837546651801e-109,1.75918740127536,0.461,0.015,3.71847800331405e-105,1.77104613778298e-91,1.46148314020263,0.595,0.055,4.99523563161689e-87,8.6575850396547e-289,1.51906371969671,0.667,0.029,2.44187186043461e-284,1.77104613778298e-91,2.59727551189661e-288
"Ms4a6b",2.46200746222753e-61,1.19550928279394,0.344,0.022,6.94409204721276e-57,1.23490589528615e-116,1.72638769791229,0.672,0.053,3.48305207765459e-112,1.22632638456888e-273,1.73971694499169,0.753,0.052,3.45885356767654e-269,2.46200746222753e-61,3.67897915370676e-273
"Ms4a4b",5.45399915637752e-58,1.19083931379353,0.344,0.025,1.53830046205628e-53,8.56574772058328e-120,1.55266082843636,0.786,0.078,2.41596914459051e-115,1.3358040722247e-264,1.63653667514606,0.758,0.054,3.76763538570976e-260,5.45399915637752e-58,4.00741221667453e-264
"Cd3g",4.41441174952014e-72,0.800603092484233,0.258,0.004,1.24508483395216e-67,1.68821123774455e-95,0.506457607699146,0.382,0.011,4.7615997960585e-91,9.63324351464133e-228,0.725406756464945,0.385,0.006,2.71705633330459e-223,4.41441174952014e-72,2.88997305439271e-227
"Lat",6.51374942311015e-51,0.639988122262755,0.219,0.007,1.83720302478822e-46,7.66588102772459e-124,0.850774692168245,0.511,0.018,2.16216174386972e-119,5.02044569434373e-212,0.792554831715935,0.39,0.008,1.41601670808965e-207,6.51374942311015e-51,1.50613370830312e-211
"Gm10275",1.33391937788452e-103,1.99493001892347,0.953,0.178,3.76231960532329e-99,1.13188216468072e-104,1.93274150661065,0.962,0.21,3.19247364548198e-100,5.74750577923946e-200,1.71902201927077,0.931,0.159,1.62108400503449e-195,1.33391937788452e-103,1.72425173377181e-199
