"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Klk1",1.26382652002228e-177,0.768857942773899,0.5,0,3.56462269972285e-173,0,1.44254537093086,1,0,0,1.26382652002228e-177,0
"Klk1b5",1.08000029368795e-89,0.379144524143141,0.25,0,3.04614082834687e-85,0,0.585982763164314,0.5,0,0,1.08000029368795e-89,0
"D13Ertd608e",7.96304732397863e-31,0.413734174481424,0.25,0.001,2.24597749772817e-26,0,1.3379163531683,0.75,0.001,0,7.96304732397863e-31,0
"Gm21762",7.96304732397863e-31,0.485957040965565,0.25,0.001,2.24597749772817e-26,0,1.33831562699144,0.75,0.001,0,7.96304732397863e-31,0
"Cox6a2",1.06803422047437e-133,3.13329971232088,0.75,0.002,3.01239051884795e-129,4.25908043914786e-283,1.74943154050888,0.75,0.001,1.20127363786165e-278,1.06803422047437e-133,8.51816087829521e-283
"Klk1b27",1.26382652002228e-177,1.79380093423294,0.5,0,3.56462269972285e-173,5.32955160532396e-212,0.717689085800031,0.75,0.001,1.50320003028162e-207,1.26382652002228e-177,1.06591032106477e-211
"Cd209d",2.90978083210376e-160,1.60974063934763,0.75,0.001,8.20703683694865e-156,7.24575756366893e-33,0.506081855177993,0.25,0.001,2.04366592083282e-28,7.24575756366893e-33,5.81956166420749e-160
"Lefty1",1.08123448558583e-89,1.20289064383665,0.5,0.001,3.04962186659484e-85,6.97008066146079e-127,1.09567989697478,0.5,0.001,1.96591125056502e-122,1.08123448558583e-89,1.39401613229219e-126
"Tmem221",1.08000029368795e-89,0.536572097410617,0.25,0,3.04614082834687e-85,1.15000205035768e-126,0.555487267938685,0.5,0.001,3.24358078303383e-122,1.08000029368795e-89,2.30000410071536e-126
"Ccnd1",1.97905848762535e-28,1.07491298924249,0.5,0.007,5.58193446434729e-24,1.85385722866168e-117,2.6274707002265,1,0.006,5.22880431344027e-113,1.97905848762535e-28,3.70771445732328e-117
"Slco4a1",2.47149634463243e-12,0.835488101698255,0.25,0.004,6.97085544003577e-08,2.3872481549065e-113,0.644353484691009,0.75,0.003,6.73323342091378e-109,2.47149634463243e-12,4.77449630981295e-113
"AF067061",2.63251554445019e-09,0.838837569414268,0.25,0.006,7.42501009312177e-05,1.64352816145857e-108,0.402257674789775,0.5,0.001,4.63557117939389e-104,2.63251554445019e-09,3.28705632291716e-108
"BC147527",4.93797758178209e-19,0.483324654582377,0.25,0.002,1.39275657694164e-14,3.23707972981607e-95,0.585561659859868,0.5,0.002,9.13018337794623e-91,4.93797758178209e-19,6.47415945963215e-95
"Atp2a1",2.85149907213103e-60,1.37723311473577,0.5,0.002,8.04265313294557e-56,3.00097544825223e-64,0.62205188332951,0.25,0.001,8.46425125179541e-60,2.85149907213103e-60,6.00195089650453e-64
"Serpinh1",5.97024364008287e-52,3.06205058539461,0.5,0.003,1.68390721868537e-47,2.80905776616689e-28,0.440066730233741,0.25,0.002,7.92294742947372e-24,2.80905776616689e-28,1.19404872801658e-51
"Pltp",0.00227156486368535,0.865635974859835,0.25,0.023,1,2.34853528386238e-51,0.914157704398486,1,0.016,6.62404376813385e-47,0.00227156486368535,4.6970705677248e-51
"Siglech",2.86656686166293e-15,2.84509132051991,0.75,0.035,8.0851518333203e-11,3.06730014514357e-48,2.80249045678581,1,0.018,8.65132005937745e-44,2.86656686166293e-15,6.1346002902872e-48
