"gene","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Cd44",2.00207694195136e-12,-0.782297488360452,0.412,0.786,5.64685801477381e-08,5.00342908663955e-09,-0.820351794567744,0.306,0.522,0.000141121717388668,1.07730945629642e-41,-0.98844295309689,0.55,0.839,3.03855132148405e-37,5.00342908663955e-09,3.23192836888924e-41
"Ear2",2.73114677527398e-11,-0.908199996997461,0.238,0.561,7.70319947966026e-07,8.89662745417564e-20,-1.33478774721888,0.26,0.59,2.50929377345024e-15,8.40611557919681e-41,-1.4660661916991,0.254,0.609,2.37094489911246e-36,2.73114677527398e-11,2.52183467375905e-40
"Ear1",9.37315169667487e-13,-0.879957728261282,0.213,0.561,2.64369743604715e-08,4.31930484698981e-18,-1.46295327695577,0.244,0.545,1.21825993209348e-13,2.08769116244473e-40,-1.45749991785355,0.232,0.586,5.88833292367536e-36,9.37315169667487e-13,6.26307348733416e-40
"Cebpb",8.65745666583485e-10,-0.7143171329836,0.619,0.939,2.44183565259872e-05,1.33730519290946e-06,-0.440612918213588,0.636,0.831,0.0377186929660113,9.85379037575127e-38,-0.85022172610466,0.619,0.909,2.77926157548065e-33,1.33730519290946e-06,2.95613711272536e-37
"Itgal",8.61400874460278e-16,-1.21185619821057,0.252,0.673,2.42958116641521e-11,0.00302624717858064,-0.542108988227106,0.18,0.275,1,1.27897422870099e-36,-1.02926768952089,0.282,0.646,3.60734681205114e-32,0.00302624717858064,3.83692268610295e-36
"Dusp1",1.86679917767592e-11,-0.841959277932039,0.65,0.918,5.26530708063494e-07,3.88949311743478e-12,-0.940200596262234,0.37,0.618,1.09703153377248e-07,1.8612309484367e-33,-0.896000257708199,0.644,0.895,5.24960189006571e-29,1.86679917767592e-11,5.58369284531011e-33
"H2-Eb1",3.80959712116535e-13,1.98864609623622,0.65,0.235,1.07449686802469e-08,3.55939397012296e-15,2.30722773487446,0.499,0.185,1.00392706927318e-10,2.15322940853039e-25,1.83819497337006,0.551,0.252,6.07318354675995e-21,3.80959712116535e-13,6.45968822559116e-25
"Cd74",2.8272735822298e-09,1.26640311155287,0.77,0.582,7.97432513867916e-05,2.22933346466204e-11,1.4210986886629,0.654,0.433,6.2878350370793e-07,2.48905402557639e-25,1.40448530999961,0.708,0.462,7.02037687913821e-21,2.8272735822298e-09,7.46716207672916e-25
"Tsc22d3",2.26223425589431e-05,-0.341857021335508,0.314,0.551,0.638063171874989,1.14093205129554e-05,-0.436517283103771,0.169,0.315,0.321799885067907,9.32198775921246e-25,-0.531641078044931,0.255,0.535,2.62926664748587e-20,2.26223425589431e-05,2.79659632776372e-24
"Cxcl16",2.44925021682389e-09,0.82554595911431,0.367,0.061,6.90811023655178e-05,1.16377415165496e-05,0.535059734260627,0.1,0,0.328242499474282,1.03861177641189e-24,0.80699946057959,0.313,0.037,2.92940451536973e-20,1.16377415165496e-05,3.11583532923565e-24
"Sirpa",3.89152343449846e-06,-0.330883606989514,0.412,0.694,0.109760418470029,1.45345758363869e-05,-0.392128534513486,0.35,0.522,0.409947711465293,4.66476749215271e-24,-0.574564489294036,0.45,0.708,1.31569767116167e-19,1.45345758363869e-05,1.39943024764581e-23
"Krt79",2.96325969649489e-06,-0.329910360897249,0.014,0.112,0.0835787397396385,2.22365901983977e-12,-0.832743111567738,0.04,0.202,6.27183026545806e-08,2.31714815315079e-23,-0.552913881907477,0.035,0.21,6.53551636596181e-19,2.96325969649489e-06,6.95144445945235e-23
"H2-Aa",3.47463024555973e-13,1.75491997676169,0.692,0.276,9.80019460760123e-09,1.1794633993256e-10,1.80307980104575,0.503,0.264,3.32667651779785e-06,3.83655410972144e-22,1.38087991533452,0.593,0.314,1.08210008664693e-17,1.1794633993256e-10,1.15096623291643e-21
"Tmbim6",9.4409505083367e-05,-0.264956708158215,0.557,0.806,1,3.52397081432819e-06,-0.367341823591544,0.337,0.517,0.0993935968181266,1.12524049363216e-21,-0.456949579098617,0.573,0.81,3.17374081228952e-17,9.4409505083367e-05,3.3757214808965e-21
"Ezr",0.000121306426782243,-0.497928709971439,0.23,0.408,1,0.0260151309065141,-0.38353933727495,0.124,0.185,1,2.33150777309705e-21,-0.653500556706719,0.24,0.493,6.57601767402022e-17,0.0260151309065141,6.99452331929112e-21
"Tppp3",6.06792240108728e-09,-0.507102312731293,0.118,0.367,0.000171145751322667,6.53402285017889e-05,-0.489343249900912,0.106,0.213,1,5.06134323493675e-21,-0.504477692337893,0.124,0.354,1.42755185941391e-16,6.53402285017889e-05,1.51840297048102e-20
"Rpl41",6.30995377711622e-14,0.86547904360269,0.95,0.908,1.77972246283563e-09,0.000165338151431621,0.346393511067454,0.916,0.899,1,2.31821774049934e-20,0.544183654194126,0.921,0.938,6.53853313707839e-16,0.000165338151431621,6.95465322149799e-20
"Tcf7l2",0.00248024114951835,-0.278445622606337,0.104,0.214,1,0.000709038764340005,-0.512749864808864,0.087,0.174,1,3.37089855485797e-20,-0.626144986702248,0.125,0.34,9.50761937397691e-16,0.00248024114951835,1.01126956645739e-19
"Ucp2",3.25022135905095e-05,-0.327929042886433,0.79,0.949,0.916724934320321,0.000114023888054486,-0.27585343325573,0.687,0.798,1,6.15770144414304e-20,-0.510247883797042,0.787,0.935,1.73677969232054e-15,0.000114023888054486,1.84731043324291e-19
"Chil3",0.0015851521394923,-0.838296427871817,0.232,0.388,1,1.6760973369972e-12,-1.07672034611501,0.2,0.444,4.72743253900061e-08,6.60839230212496e-20,-1.38834939010921,0.259,0.493,1.86389704881434e-15,0.0015851521394923,1.98251769063748e-19
"Cd47",1.78941477638818e-10,-0.629810924962053,0.468,0.806,5.04704437680287e-06,0.000275322142342956,-0.468303791770711,0.388,0.517,1,7.19558146148267e-20,-0.490442608068481,0.63,0.827,2.02951375121119e-15,0.000275322142342956,2.15867443844479e-19
"Btg2",1.45901321706362e-08,-0.683190990882082,0.479,0.776,0.000411514677872795,0.001452717006085,-0.349833892177869,0.466,0.59,1,9.33018399242619e-19,-0.641158789264836,0.614,0.816,2.63157839506381e-14,0.001452717006085,2.79905519772785e-18
"Cd63",5.10556919138601e-09,1.12983015726173,0.395,0.092,0.000144002579043042,0.000277856231167238,1.02812097560523,0.166,0.062,1,2.30541163760107e-18,0.924934444406204,0.307,0.079,6.50241352385382e-14,0.000277856231167238,6.91623491280318e-18
"Zfp36l2",6.17965720310714e-06,-0.481460746133091,0.403,0.694,0.174297231413637,0.000463448528961008,-0.400585377977074,0.213,0.331,1,2.73303771403788e-18,-0.49008697849641,0.481,0.742,7.70853287244385e-14,0.000463448528961008,8.19911314211363e-18
"Socs3",0.00832881407318032,0.411982377883114,0.443,0.306,1,8.87018715859073e-07,0.616152272394565,0.273,0.09,0.0250183628808051,2.87916081628014e-18,0.747528707664044,0.441,0.178,8.12067308231815e-14,0.00832881407318032,8.63748244884039e-18
"Fabp5",5.34328358164063e-13,1.9596698770958,0.499,0.102,1.50707313420174e-08,2.1259312535384e-06,1.26067777195248,0.281,0.118,0.0599618910060505,5.80405757696178e-18,1.45759539719118,0.411,0.187,1.63703443958207e-13,2.1259312535384e-06,1.74121727308853e-17
"Ifi30",2.89426566649320e-12,1.34194552070735,0.739,0.5,8.16327631234409e-08,7.99782489253422e-09,1.01773940325301,0.559,0.331,0.000225578651093928,3.49500091610174e-17,0.764743982174886,0.726,0.592,9.85765008386497e-13,7.99782489253422e-09,1.04850027483052e-16
"Gm10076",3.14215148473281e-12,0.818806607865089,0.93,0.888,8.86243826268888e-08,0.000134486005899455,0.348686346660589,0.885,0.865,1,7.73819941577125e-17,0.502274814521813,0.905,0.912,2.18255914521828e-12,0.000134486005899455,2.32145982473136e-16
"Gm14328",1.90646541456208e-07,0.819917580756108,0.322,0.071,0.00537718570177234,9.44727586479909e-06,0.507483480124912,0.209,0.067,0.266460415766658,8.00890223127965e-17,0.634421691418141,0.276,0.068,2.25891087433242e-12,9.44727586479909e-06,2.40267066938389e-16
"Tmem176b",0.0033105616826503,0.643718707600097,0.35,0.204,1,9.28202939066085e-09,1.18783696476076,0.266,0.062,0.000261799638963589,2.13874919688085e-16,0.79857247985985,0.393,0.144,6.03234210980243e-12,0.0033105616826503,6.41624759064254e-16
"Lpl",0.134601667039148,0.326443286159692,0.224,0.316,1,1.00237119378294e-05,-0.785947087900413,0.162,0.298,0.282718795206477,3.13397679877663e-16,-1.01381319297048,0.181,0.382,8.8393815609495e-12,0.134601667039148,9.40193039632987e-16
"Crip1",0.000590984478018856,0.691745712613722,0.711,0.592,1,4.3430297432718e-07,0.751967728722178,0.672,0.449,0.0122495153908981,3.23590266888085e-16,0.797526782399239,0.708,0.465,9.12686347757843e-12,0.000590984478018856,9.70770800664253e-16
"Serinc3",1.92129334066104e-09,-0.833130511297401,0.524,0.816,5.41900786733446e-05,0.0014044163049647,-0.315544019429012,0.217,0.326,1,5.03319639233814e-16,-0.435048849817751,0.567,0.771,1.41961304245897e-11,0.0014044163049647,1.50995891770144e-15
"Camkk2",8.09041229348371e-07,-0.306405384320215,0.182,0.418,0.0228190078737708,0.0409496360038335,-0.320096712399642,0.184,0.242,1,7.333474098273e-16,-0.359932561343692,0.196,0.414,2.0684063694179e-11,0.0409496360038335,2.20004222948189e-15
"Slc45a3",1.54116688653575e-07,0.795941962756628,0.465,0.184,0.00434686120347408,6.14034369522204e-06,0.437191980887629,0.317,0.14,0.173188393923738,1.58430012037264e-15,0.526683655217555,0.367,0.142,4.46851848951104e-11,6.14034369522204e-06,4.75290036111791e-15
"Cd63-ps",2.9094174449749e-06,0.571943577588681,0.263,0.041,0.0820601190355169,0.00108844559942505,0.583897005071166,0.122,0.039,1,2.47325766271136e-15,0.496603702863844,0.239,0.048,6.97582323767739e-11,0.00108844559942505,7.41977298813402e-15
"Lmo4",1.0625509305409e-05,-0.283705300007119,0.305,0.561,0.299692489959061,1.2390006935645e-05,-0.378447973083491,0.353,0.511,0.349460145619867,3.71805230487919e-15,-0.496882044061442,0.364,0.581,1.04867665259118e-10,1.2390006935645e-05,1.11541569146375e-14
"Itgb2",1.2479076360256e-09,-0.75248739381002,0.569,0.898,3.5197234874102e-05,0.0687549113921194,-0.28032059490362,0.412,0.472,1,4.37878188211112e-15,-0.479452240326381,0.549,0.776,1.23503542984944e-10,0.0687549113921194,1.31363456463333e-14
"Tmem176a",0.0011467298631214,0.457058942330226,0.244,0.092,1,8.28645264790463e-06,0.499893775982449,0.155,0.028,0.23371939693415,7.86605473107628e-15,0.54245189490711,0.262,0.068,2.21862073690007e-10,0.0011467298631214,2.35981641932287e-14
"Wfdc17",0.0014792351329702,0.583445439710773,0.395,0.265,1,3.73920236477862e-06,0.417135131449912,0.295,0.124,0.105464202698581,2.92359377649311e-14,0.540387263328206,0.408,0.184,8.24599624659883e-10,0.0014792351329702,8.77078132947909e-14
"Ly6e",2.99367669879907e-14,-0.793690745900697,0.555,0.929,8.44366512896278e-10,0.249846250353815,0.281068777619922,0.603,0.59,1,5.07314865147877e-13,-0.571840519092282,0.616,0.807,1.43088157714959e-08,0.249846250353815,8.98103009639694e-14
"Fam46a",6.05428779910596e-14,-0.566153501367377,0.14,0.49,1.70761187373784e-09,0.0101872632605,-0.392017328482999,0.148,0.219,1,7.56506911085367e-11,-0.30877512371422,0.182,0.346,2.13372774271628e-06,0.0101872632605,1.81628633973168e-13
"Fscn1",2.36814090798335e-05,2.0039211562498,0.235,0.051,0.667934143096704,1.51578631740543e-07,1.58788856742,0.151,0.006,0.00427527530824201,8.00590216332662e-14,1.60937566457821,0.172,0.014,2.25806470516627e-09,2.36814090798335e-05,2.40177064899779e-13
"Rps9",6.23990152223236e-05,0.507068688295927,0.947,0.99,1,0.000839133610472858,0.357482583835166,0.883,0.831,1,8.16893331207769e-14,0.468408991486142,0.916,0.935,2.30404764067151e-09,0.000839133610472858,2.45067999362311e-13
"Clec4a3",4.09424234360797e-08,-0.427834200870965,0.204,0.49,0.00115478105301463,0.021551984730729,0.300915138191744,0.124,0.062,1,1.18249404394575e-13,-0.405009774179411,0.26,0.473,3.335224450949e-09,0.021551984730729,3.54748213183686e-13
"Ccr7",5.27119049655978e-06,1.3231514865963,0.199,0.01,0.148673927955468,1.04355747143403e-05,0.738204405685281,0.113,0.006,0.294335384817967,2.26977336924807e-13,0.846838310360191,0.177,0.02,6.40189578796418e-09,1.04355747143403e-05,6.80932010774266e-13
"Rpl19-ps11",6.67615543407639e-05,0.511120029123863,0.882,0.908,1,0.000204303806685442,0.369044861647089,0.749,0.652,1,2.28740171216168e-13,0.438979013911799,0.855,0.827,6.45161652915201e-09,0.000204303806685442,6.86220513648348e-13
"Idh1",0.000120823172440818,-0.617532425527534,0.218,0.408,1,0.10751678942454,-0.394989043408115,0.117,0.157,1,2.45436416008617e-13,-0.277537419074922,0.237,0.436,6.92253411352305e-09,0.10751678942454,7.36309248025672e-13
"Apbb1ip",3.69048319670623e-06,-0.586932293881155,0.244,0.48,0.104090078563099,0.494255654109942,-0.44976629894507,0.18,0.197,1,3.21509699377194e-13,-0.504321761903676,0.36,0.552,9.06818107093376e-09,0.494255654109942,9.64529098131274e-13
