"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Tmsb4x",8.7521314052256e-59,-0.747488300175569,0.936,1,2.46853866284388e-54,1.68965085964131e-170,-0.864244234421468,0.954,1,4.76566024961831e-166,0,-1.02152371047724,0.952,1,0,8.7521314052256e-59,0
"S100a11",1.08091411891532e-32,-0.625555167764735,0.689,0.952,3.04871827240067e-28,5.91019328344931e-201,-1.37175040810028,0.661,0.98,1.66697001559688e-196,0,-1.32882639337786,0.742,0.988,0,1.08091411891532e-32,0
"Clec4n",8.0055501447372e-40,1.49028035821565,0.296,0.052,2.25796541832313e-35,4.98791795963132e-164,2.11082910084741,0.583,0.064,1.40684226051402e-159,3.52775928012069e-306,2.08704279684711,0.608,0.076,9.95004504958039e-302,8.0055501447372e-40,1.0583277840363e-305
"S100a6",1.72280654071484e-33,-0.734057414026984,0.625,0.921,4.85917584808621e-29,7.95970880987189e-186,-1.79930140440611,0.522,0.965,2.24503586982437e-181,4.2981075498131e-278,-1.57535924476781,0.543,0.95,1.21228123442478e-273,1.72280654071484e-33,1.28943226494399e-277
"Dusp1",1.88742079763711e-58,-1.03372516668387,0.629,0.953,5.32347035973548e-54,2.1290669004123e-109,-0.789086217997692,0.836,0.998,6.00503319261289e-105,9.25769354664388e-277,-1.0985963828425,0.812,1,2.61113246483091e-272,1.88742079763711e-58,2.77730806399335e-276
"Sell",8.30253783838545e-26,-1.20083477612425,0.196,0.474,2.34173079731661e-21,4.6113237384392e-196,-1.52611415583783,0.199,0.814,1.30062386042678e-191,5.24023541905953e-265,-1.42494635476083,0.243,0.799,1.47800839994574e-260,8.30253783838545e-26,1.57207062571795e-264
"Retnlg",1.14865433084601e-48,-1.6506423361378,0.333,0.745,3.23977954015118e-44,1.26529070303376e-225,-2.35370759596753,0.25,0.889,3.56875242790671e-221,4.64054819124069e-262,-2.01841646723127,0.257,0.804,1.30886661733944e-257,1.14865433084601e-48,1.39216445737226e-261
"Slpi",1.04999762883011e-23,-0.510618419988808,0.424,0.774,2.96151831211532e-19,5.49160023122874e-144,-1.08541404123972,0.329,0.879,1.54890584521807e-139,7.49297053088728e-234,-1.14698773314908,0.344,0.872,2.11339233823676e-229,1.04999762883011e-23,2.24789115926634e-233
"Mmp8",3.66767412911579e-33,-1.70025450708987,0.104,0.407,1.03446748811711e-28,3.06683865515468e-165,-1.70062102745864,0.115,0.651,8.65001842686379e-161,1.86217541133925e-231,-1.78151037121377,0.164,0.657,5.25226574768235e-227,3.66767412911579e-33,5.58652623401807e-231
"Cdkn1a",3.50835812252931e-52,1.99904229384895,0.362,0.061,9.89532408459391e-48,6.96255886317434e-115,1.90115456982279,0.597,0.179,1.96378972735832e-110,9.48051172544656e-222,1.81891525486877,0.57,0.122,2.6739783321622e-217,3.50835812252931e-52,2.84415351763402e-221
