"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Klf2",7.08336912745794e-05,-0.524368713612559,0.415,0.617,1,1.21212375831613e-11,-0.721001384752921,0.424,0.733,3.41879506033063e-07,8.63796805493989e-20,-0.655220742264777,0.483,0.831,2.43633888989579e-15,7.08336912745794e-05,2.59139041648196e-19
"mt-Nd1",4.64881190879819e-10,-0.873953716678244,0.422,0.719,1.31119739887653e-05,7.34302345725779e-10,-0.553330305765735,0.908,0.977,2.07109976611956e-05,4.29501888972075e-19,-0.439183188219709,0.963,0.996,1.21141007784574e-14,7.34302345725779e-10,1.28850566691622e-18
"Txnip",4.11884153515409e-08,-0.80284811512484,0.464,0.719,0.00116171925499021,5.53905513666672e-07,-0.487014266164917,0.734,0.924,0.0156229050129685,2.01718579870273e-13,-0.551127665380847,0.741,0.944,5.68947254524106e-09,5.53905513666672e-07,6.05155739610698e-13
"Ms4a6b",0.000291123265190431,-0.580889247924965,0.19,0.344,1,1.2181155108447e-07,-0.561600155882606,0.429,0.672,0.00343569479833746,8.10083723228792e-11,-0.421735276945012,0.559,0.753,2.28484114136681e-06,0.000291123265190431,2.43025116948951e-10
"Rpl5",0.00686330180455938,-0.297107094727659,0.578,0.68,1,0.153111733027709,0.333470766658915,0.618,0.725,1,2.8243905474961e-10,-0.404316452281426,0.578,0.788,7.96619353921275e-06,0.153111733027709,8.47317164009515e-10
"mt-Nd2",3.09018907391549e-07,-0.986317144041496,0.209,0.422,0.00871587828297864,1.26853808191415e-06,-0.514149577827392,0.882,0.969,0.0357791166003887,3.67254179700365e-10,-0.338380830371602,0.963,0.996,1.03584041384488e-05,1.26853808191415e-06,1.10176253869647e-09
"Gm11512",1.80327368040637e-08,-0.714933076607767,0.435,0.711,0.000508613341558617,3.50327435582836e-05,0.443709601648532,0.781,0.855,0.988098532061388,4.2436759551258e-10,-0.416068025784517,0.879,0.948,1.19692880314323e-05,3.50327435582836e-05,1.27310278599748e-09
"Tnfaip3",0.204567327773379,-0.26367453997553,0.127,0.172,1,5.68880463986496e-10,-0.796835950320412,0.272,0.565,1.60452734867391e-05,4.69770671911766e-06,-0.487513800228055,0.331,0.476,0.132498818012714,0.204567327773379,1.70664139098862e-09
"Socs3",0.0262931050449122,0.473269427843106,0.147,0.07,1,0.0053723835684413,0.52272824146832,0.359,0.252,1,1.01045694966195e-08,0.595812973908954,0.318,0.13,0.000284999382652152,0.0262931050449122,3.03137081835514e-08
"Sell",0.000989610652044989,-0.648382203103544,0.167,0.297,1,0.000544299351582907,-0.311110713967441,0.33,0.527,1,7.28070525719178e-07,-0.367950209601667,0.402,0.584,0.0205352291779094,0.000989610652044989,2.18420998689785e-06
"Tsc22d3",0.000328218154850545,-0.527506912264339,0.212,0.367,1,1.08490526578376e-06,-0.297922969009141,0.388,0.656,0.0305997530214309,7.88692403539451e-07,-0.438595407709109,0.389,0.545,0.0222450692418302,0.000328218154850545,2.36607534451172e-06
"Ccr7",0.0152955121232818,-0.288527526297899,0.288,0.398,1,8.6899038613331e-06,-0.440970865854303,0.4,0.611,0.2450987384089,1.70599811748396e-06,-0.311071577950998,0.419,0.597,0.0481176769036352,0.0152955121232818,5.11798562116813e-06
"Gm11410",1.52229133125107e-05,-0.644651959023696,0.34,0.547,0.429362269979365,0.000196034692756581,-0.257345915682987,0.866,0.954,1,0.000106898270557175,-0.295355103409304,0.863,0.944,1,0.000196034692756581,4.56680447297907e-05
"Cd28",0.0236787363527236,-0.375997984888815,0.078,0.148,1,1.71014695906587e-05,-0.472067448270623,0.19,0.382,0.482346949804529,9.03617796345899e-05,-0.312558928447212,0.265,0.39,1,0.0236787363527236,5.13035313961911e-05
"Tpt1-ps3",0.0110513816292388,-0.264287974529521,0.415,0.523,1,9.80693119276282e-05,0.333255801552892,0.377,0.214,1,6.35004308390661e-05,-0.290764122307614,0.35,0.468,1,0.0110513816292388,0.000190489195859101
"Cd52",0.0282391334043981,0.532078361615555,0.69,0.602,1,0.00063951072764791,0.563553060414545,0.685,0.634,1,0.201535765112412,0.295956741250977,0.746,0.74,1,0.201535765112412,0.00191730552257464
"Eif5a",0.292241774528321,-0.394590037337158,0.245,0.273,1,0.0987743325783094,0.34452842740922,0.449,0.389,1,0.0104636626338589,0.347925911306656,0.457,0.368,1,0.292241774528321,0.031063668842392
