"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Ets1",0.9495114231659,-0.383780237626812,0.257,0.24,1,0.123430596528363,-0.303077862957219,0.496,0.586,1,7.44963306699773e-06,-0.499082830312587,0.597,0.78,0.210116900654671,0.9495114231659,2.23487327103081e-05
"Hsp90ab1",0.510016222263493,0.309684126690912,0.257,0.2,1,2.39279744629279e-05,-0.539499745160387,0.374,0.713,0.674888519726882,0.000132841522103646,-0.575176474104327,0.488,0.661,1,0.510016222263493,7.17822057585979e-05
"Ifngr1",0.154912446223262,-0.423469895496031,0.419,0.6,1,3.47336104057946e-05,-0.57205044852049,0.661,0.885,0.979661481495435,0.00216314524464709,-0.373038528478403,0.711,0.822,1,0.154912446223262,0.000104197211988212
"Rpl41",0.228044496652584,0.289088035815027,0.851,0.92,1,0.000130065404892939,0.69024374827381,0.896,0.874,1,0.000101240628047022,0.41070761479167,0.9,0.915,1,0.228044496652584,0.000303691136184446
"Klf6",0.0561195228284678,-1.17716231159093,0.149,0.32,1,0.00144583670760456,-0.437864177156624,0.226,0.448,1,0.000103594454236712,-0.74996440616676,0.275,0.458,1,0.0561195228284678,0.000310751168389046
"Fam107b",0.418267625869657,-0.417478414171671,0.068,0.12,1,0.00869727940053632,-0.473864788880738,0.217,0.402,1,0.000111307106351257,-0.506513944279105,0.261,0.449,1,0.418267625869657,0.000333884152617012
"Fam65b",0.0288542888972971,-0.973397841333374,0.135,0.32,1,0.00245202829659987,-0.716002305345406,0.165,0.333,1,0.000262642793546847,-0.480986987364157,0.199,0.373,1,0.0288542888972971,0.000787721455046959
"Gvin1",0.060122593717628,-0.397135342274673,0.095,0.24,1,0.00315962960100563,-0.580452346893153,0.417,0.598,1,0.000570640153064976,-0.441090630747953,0.578,0.695,1,0.060122593717628,0.00171094375445972
"Gm4070",0.0336937488386726,-0.442458832583708,0.108,0.28,1,0.00343655485746985,-0.574662346476146,0.417,0.598,1,0.000591998974764138,-0.439277718332843,0.578,0.695,1,0.0336937488386726,0.00177494574340766
"Sell",0.14809627099205,0.908923643890886,0.203,0.08,1,0.482496893187904,-0.283355039410387,0.383,0.425,1,0.000646440447821911,-0.618350614704843,0.417,0.576,1,0.482496893187904,0.00193806795784592
"Snrpb",0.0799107221497467,-0.48057467960611,0.162,0.32,1,0.139144656772083,0.321937559771415,0.322,0.23,1,0.000885454335494268,-0.389556539507177,0.237,0.407,1,0.139144656772083,0.00265401161256428
