"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val","Major.cell.type"
"Cd79a",2.60119158180978e-284,3.61431042908679,0.923,0.022,7.33666085649449e-280,0,3.50711909207546,0.982,0.008,0,0,3.5796623002533,0.98,0.007,0,2.60119158180978e-284,0,"B cells"
"H2-Aa",3.59646689100548e-248,3.85997981428688,0.927,0.054,1.0143834866081e-243,4.22298800479377e-276,4.08795363340285,0.991,0.048,1.19109376675208e-271,0,3.87036249769303,0.978,0.051,0,3.59646689100548e-248,0,"B cells"
"Cd74",1.55075424051803e-239,4.12960014491063,0.973,0.091,4.37390233538111e-235,2.08422078503355e-253,4.03098922930911,1,0.075,5.87854472418713e-249,0,4.01861392984718,0.998,0.074,0,1.55075424051803e-239,0,"B cells"
"H2-Eb1",1.23320443445612e-223,3.98375758652031,0.881,0.063,3.4782531073835e-219,1.3599914799811e-271,3.8846006200999,0.977,0.047,3.83585596928668e-267,0,3.8068537040463,0.967,0.047,0,1.23320443445612e-223,0,"B cells"
"Cd79b",6.53404936783699e-189,1.7549887549175,0.602,0.004,1.84292862419842e-184,1.59690658851768e-225,1.47813803741054,0.696,0.008,4.50407503291413e-221,0,1.69229224508982,0.653,0.002,0,6.53404936783699e-189,0,"B cells"
"H2-Ab1",5.45957764547282e-187,3.05656151403648,0.778,0.057,1.53987387490561e-182,1.45744315360872e-221,3.07602367910723,0.963,0.093,4.11071841475339e-217,0,2.85756725990828,0.909,0.057,0,5.45957764547282e-187,0,"B cells"
"Ly6d",3.58740517226228e-185,2.55808723382673,0.625,0.011,1.01182762883658e-180,1.00860714775612e-302,2.46538504260453,0.889,0.007,2.84477646024613e-298,0,2.56673430722791,0.807,0.007,0,3.58740517226228e-185,0,"B cells"
"Fcmr",1.79966043702042e-132,2.22786280440534,0.444,0.006,5.07594226261609e-128,1.66777183565627e-191,2.25450438071676,0.608,0.008,4.7039504624685e-187,0,2.07495949601758,0.646,0.003,0,1.79966043702042e-132,0,"B cells"
"H2-DMb2",3.75994210154323e-91,2.01711286931822,0.421,0.032,1.06049166974027e-86,7.88336036006795e-148,1.88632137245421,0.733,0.081,2.22350178955716e-143,0,2.08586981700628,0.698,0.036,0,3.75994210154323e-91,0,"B cells"
"Cd19",5.34004193103304e-90,1.51957538797184,0.31,0.004,1.50615882664787e-85,5.4846029609824e-144,1.53652636591422,0.521,0.017,1.54693226514509e-139,0,1.54027161995352,0.486,0.003,0,5.34004193103304e-90,0,"B cells"
"Ear2",2.68475511881896e-172,2.42273932241616,0.59,0.01,7.57235181262888e-168,1.09216245614151e-179,1.58131256475496,0.561,0.004,3.08044420754713e-175,0,2.56086882963899,0.609,0.006,0,2.68475511881896e-172,0,"MoMacDC"
"Ear1",6.43817118207285e-160,2.350339545062,0.545,0.009,1.81588618190365e-155,1.29624270728059e-179,1.41523671865765,0.561,0.004,3.65605255588491e-175,0,2.38996619584513,0.586,0.005,0,6.43817118207285e-160,0,"MoMacDC"
"Ctss",2.55958580791524e-81,1.87559047301441,0.579,0.074,7.21931177122495e-77,7.98083351841441e-107,2.32899390903104,0.929,0.129,2.25099409386879e-102,0,2.27556400746922,0.949,0.141,0,2.55958580791524e-81,0,"MoMacDC"
"Chil3",1.63701489175317e-132,2.1042366374093,0.444,0.006,4.61720050218981e-128,2.77545741257515e-84,2.59026384883618,0.388,0.014,7.82817763216822e-80,1.80375112908764e-290,3.39975350226214,0.493,0.011,5.08748005959168e-286,2.77545741257515e-84,5.4112533872631e-290,"MoMacDC"
"Klf4",2.10600478349894e-61,0.966117656786268,0.287,0.015,5.93998649185875e-57,6.38320772219132e-108,0.799142303010667,0.531,0.022,1.80038373804406e-103,2.42445074738296e-288,1.11373314099815,0.538,0.017,6.83816333299364e-284,2.10600478349894e-61,7.27335224214966e-288,"MoMacDC"
"S100a4",1.48689167179031e-116,1.69017241286326,0.433,0.01,4.19377796028456e-112,3.52074783712765e-139,1.64199460474645,0.571,0.015,9.93026927461855e-135,5.79765833963776e-277,1.33627052443571,0.496,0.013,1.63522953469483e-272,1.48689167179031e-116,1.73929750189148e-276,"MoMacDC"
"Anxa5",7.40636569350155e-55,1.37955185844925,0.32,0.028,2.08896544385211e-50,1.41459639974638e-69,1.17949145459523,0.52,0.045,3.98986914548467e-65,2.13298526590273e-267,1.47573236173468,0.654,0.046,6.01608494247866e-263,7.40636569350155e-55,6.39895579770869e-267,"MoMacDC"
"Pld4",1.53514842767253e-59,0.611037630314647,0.32,0.022,4.32988614025036e-55,5.9660872078271e-145,0.89793335241834,0.592,0.015,1.68273489696763e-140,9.55712513377763e-264,0.781792392904897,0.487,0.014,2.69558714398198e-259,1.53514842767253e-59,2.86713754013354e-263,"MoMacDC"
"Ctsb",1.2155680741184e-68,1.79269843575965,0.545,0.08,3.42850975305096e-64,2.67802103951261e-90,2.32100632458906,0.908,0.147,7.55335834194532e-86,2.3407229981806e-255,1.83271919315811,0.836,0.118,6.60200921636839e-251,1.2155680741184e-68,7.02216899454258e-255,"MoMacDC"
"Fn1",2.86191298171357e-83,1.25062172852335,0.287,0.004,8.07202556492313e-79,1.12508856223125e-71,1.56459921532459,0.316,0.01,3.17331228977325e-67,5.17839709325038e-245,1.46525003769604,0.38,0.004,1.46056690015127e-240,1.12508856223125e-71,1.55351912797512e-244,"MoMacDC"
"S100a8",5.17975640300604e-238,4.94485188483479,0.975,0.132,1.46095029346785e-233,1.44974246299186e-236,4.99279823485443,0.995,0.166,4.08899861686855e-232,0,5.1874426846739,0.988,0.06,0,1.44974246299186e-236,0,"Neutrophils"
"S100a9",1.65560293794996e-237,5.2149190194695,0.976,0.142,4.66962808648786e-233,9.63436976731236e-237,5.20342834840245,0.996,0.177,2.71737399287045e-232,0,5.27961497607935,0.984,0.063,0,9.63436976731236e-237,0,"Neutrophils"
"Il1b",5.91412446359964e-230,3.6333822432639,0.961,0.09,1.66807880495828e-225,5.53075085761697e-224,3.70924262858396,0.973,0.131,1.55994827939087e-219,0,3.89832374200958,0.983,0.123,0,5.53075085761697e-224,0,"Neutrophils"
"Csf3r",1.5237618722313e-206,2.59851326727949,0.919,0.11,4.29777036062837e-202,4.54868738739201e-212,2.30521545800301,0.971,0.216,1.28295727761392e-207,0,2.59183971502178,0.948,0.107,0,1.5237618722313e-206,0,"Neutrophils"
"Mmp9",9.75706866598055e-201,2.93367613869754,0.883,0.062,2.75198121723981e-196,3.6647421209364e-210,2.64111489509228,0.932,0.065,1.03364051521011e-205,0,2.94611011384598,0.939,0.036,0,9.75706866598055e-201,0,"Neutrophils"
"S100a11",1.33627153051758e-196,2.64455054594704,0.952,0.288,3.76895385182483e-192,7.66905586933371e-212,2.71585133067144,0.98,0.332,2.16305720794557e-207,0,2.80505811193538,0.988,0.407,0,1.33627153051758e-196,0,"Neutrophils"
"Dusp1",2.89346682329182e-186,2.56359531595444,0.953,0.288,8.16102317509457e-182,1.94337885977196e-221,2.86329754743814,0.998,0.491,5.48130007398681e-217,0,2.75323852351122,1,0.466,0,2.89346682329182e-186,0,"Neutrophils"
"Msrb1",2.85396069886717e-171,2.32027292682586,0.898,0.182,8.04959615115486e-167,2.57258955528365e-208,2.24040181319861,0.965,0.187,7.25598884067753e-204,0,2.1799757599519,0.953,0.235,0,2.85396069886717e-171,0,"Neutrophils"
"Tyrobp",4.72939497070529e-169,1.95028365734309,0.952,0.283,1.33392585148743e-164,6.44823477698014e-196,1.9971566262226,0.994,0.313,1.81872461884725e-191,0,1.96776671806999,0.975,0.357,0,4.72939497070529e-169,0,"Neutrophils"
"Fos",6.7598310229037e-168,2.62454317117475,0.927,0.283,1.90661034000999e-163,1.9731773104075e-204,2.85195575561881,0.989,0.3,5.56534660400436e-200,0,2.6337325253719,0.996,0.386,0,6.7598310229037e-168,0,"Neutrophils"
"Gzma",1.07763734208867e-249,4.7806306458324,0.84,0.003,3.03947612336109e-245,8.81091837528489e-298,4.59545012480903,0.92,0.006,2.4851195277491e-293,0,4.35418465797177,0.814,0.002,0,1.07763734208867e-249,0,"NK cells"
"Ccl5",1.45406511863546e-143,4.59348942574903,0.88,0.016,4.10119066711133e-139,1.09952864830356e-301,4.37142743405352,0.989,0.011,3.10122055254018e-297,0,4.5165935657555,0.958,0.012,0,1.45406511863546e-143,0,"NK cells"
"Klra13-ps",2.24692915717708e-131,1.26625562074527,0.44,0.001,6.33746368781796e-127,4.29173714682758e-123,0.957217441363772,0.379,0.002,1.21048446226272e-118,0,1.36869354833746,0.449,0.001,0,4.29173714682758e-123,0,"NK cells"
"Nkg7",7.80272990597945e-112,2.52273308955141,0.72,0.014,2.2007599699815e-107,6.45760180881358e-217,2.01533964731812,0.874,0.022,1.82136659017587e-212,0,2.09277563679492,0.788,0.01,0,7.80272990597945e-112,0,"NK cells"
"Klre1",4.36196857086778e-101,2.05623245875868,0.4,0.003,1.23029323541326e-96,1.30855159782255e-201,2.0073809463026,0.678,0.008,3.69076978165851e-197,0,1.79934309372759,0.653,0.003,0,4.36196857086778e-101,0,"NK cells"
"Gzmb",8.20782969384454e-101,3.14496654289234,0.4,0.003,2.31501836514885e-96,8.38948119197374e-225,2.96578231256735,0.69,0.004,2.36625317019619e-220,0,2.95980980776838,0.669,0.003,0,8.20782969384454e-101,0,"NK cells"
"Klrb1c",5.14145506374943e-63,1.94210585504225,0.44,0.01,1.45014740073053e-58,1.52577827635565e-150,2.1672792580587,0.747,0.033,4.3034576284611e-146,0,2.20475308668448,0.72,0.007,0,5.14145506374943e-63,0,"NK cells"
"Il2rb",2.11681136628665e-60,2.03852365495265,0.32,0.004,5.9704664586115e-56,3.26713872724306e-134,1.88556653044005,0.644,0.024,9.21496478018904e-130,0,1.76831631032664,0.678,0.009,0,2.11681136628665e-60,0,"NK cells"
"Klrd1",1.06773126972795e-35,1.4274864411365,0.2,0.003,3.01153604626768e-31,6.76250783366152e-147,2.08267204145969,0.632,0.018,1.90736533448423e-142,0,1.93594053807092,0.72,0.017,0,1.06773126972795e-35,0,"NK cells"
"Klrk1",2.09404656701456e-28,1.01541220138035,0.24,0.008,5.90625834226456e-24,1.03263028985378e-131,1.39329440051777,0.529,0.012,2.91253373253258e-127,0,1.45672600573197,0.61,0.004,0,2.09404656701456e-28,0,"NK cells"
"Thy1",1.15182380755826e-165,2.0377049911261,0.531,0.004,3.24871904921806e-161,1.30237332034168e-163,1.51670327545515,0.656,0.021,3.67334395002372e-159,0,1.75694967284347,0.641,0.012,0,1.30237332034168e-163,0,"T cells"
"Tcf7",3.80280135700702e-125,1.37829511845169,0.422,0.005,1.07258012274383e-120,2.05802984088575e-228,1.45273434510179,0.756,0.011,5.80467316621826e-224,0,1.40011942523981,0.606,0.007,0,3.80280135700702e-125,0,"T cells"
"Lef1",1.32975614078509e-56,1.76383377241265,0.273,0.013,3.75057719508433e-52,1.16120549902927e-117,1.59720547801737,0.519,0.022,3.27518011001206e-113,0,1.76042061470394,0.61,0.013,0,1.32975614078509e-56,0,"T cells"
"Il7r",1.40093963689953e-44,0.722187297451136,0.172,0.004,3.95135024587512e-40,7.52084302373171e-127,1.32945430106995,0.481,0.012,2.12125377484353e-122,1.9443601225992e-293,1.74772355094948,0.545,0.013,5.48406772579104e-289,1.40093963689953e-44,5.83308036779788e-293,"T cells"
"Lck",1.31837546651801e-109,1.75918740127536,0.461,0.015,3.71847800331405e-105,1.77104613778298e-91,1.46148314020263,0.595,0.055,4.99523563161689e-87,8.6575850396547e-289,1.51906371969671,0.667,0.029,2.44187186043461e-284,1.77104613778298e-91,2.59727551189661e-288,"T cells"
"Ms4a6b",2.46200746222753e-61,1.19550928279394,0.344,0.022,6.94409204721276e-57,1.23490589528615e-116,1.72638769791229,0.672,0.053,3.48305207765459e-112,1.22632638456888e-273,1.73971694499169,0.753,0.052,3.45885356767654e-269,2.46200746222753e-61,3.67897915370676e-273,"T cells"
"Ms4a4b",5.45399915637752e-58,1.19083931379353,0.344,0.025,1.53830046205628e-53,8.56574772058328e-120,1.55266082843636,0.786,0.078,2.41596914459051e-115,1.3358040722247e-264,1.63653667514606,0.758,0.054,3.76763538570976e-260,5.45399915637752e-58,4.00741221667453e-264,"T cells"
"Cd3g",4.41441174952014e-72,0.800603092484233,0.258,0.004,1.24508483395216e-67,1.68821123774455e-95,0.506457607699146,0.382,0.011,4.7615997960585e-91,9.63324351464133e-228,0.725406756464945,0.385,0.006,2.71705633330459e-223,4.41441174952014e-72,2.88997305439271e-227,"T cells"
"Lat",6.51374942311015e-51,0.639988122262755,0.219,0.007,1.83720302478822e-46,7.66588102772459e-124,0.850774692168245,0.511,0.018,2.16216174386972e-119,5.02044569434373e-212,0.792554831715935,0.39,0.008,1.41601670808965e-207,6.51374942311015e-51,1.50613370830312e-211,"T cells"
"Gm10275",1.33391937788452e-103,1.99493001892347,0.953,0.178,3.76231960532329e-99,1.13188216468072e-104,1.93274150661065,0.962,0.21,3.19247364548198e-100,5.74750577923946e-200,1.71902201927077,0.931,0.159,1.62108400503449e-195,1.33391937788452e-103,1.72425173377181e-199,"T cells"
