"seqnames","start","end","width","strand","annot.seqnames","annot.start","annot.end","annot.width","annot.strand","annot.id","annot.tx_id","annot.gene_id","annot.symbol","annot.type"
"chr2",27734972,27734972,1,"*","chr2",27731119,27741654,10536,"+","intron:66912","uc002rky.3","2646","GCKR","hg19_genes_introns"
"chr2",27734972,27734972,1,"*","chr2",27731119,27741654,10536,"+","intron:66930","uc010ezd.3","2646","GCKR","hg19_genes_introns"
"chr2",27734972,27734972,1,"*","chr2",27731119,27741654,10536,"+","intron:66947","uc010ylu.2","2646","GCKR","hg19_genes_introns"
"chr2",27748992,27748992,1,"*","chr2",27746551,27794388,47838,"*","intergenic:1766",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23190494,23190494,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23190832,23190832,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23191019,23191019,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23191098,23191098,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23191666,23191666,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23193007,23193007,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23193690,23193690,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23193918,23193918,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23194932,23194932,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23195570,23195570,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23197820,23197820,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23198484,23198484,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23198705,23198705,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23198829,23198829,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23204024,23204024,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23204987,23204987,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23205872,23205872,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23211615,23211615,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23212575,23212575,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23212597,23212597,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23216324,23216324,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23218091,23218091,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23218611,23218611,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23220751,23220751,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23223955,23223955,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23225194,23225194,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23225738,23225738,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23228993,23228993,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23233321,23233321,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23233633,23233633,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23235424,23235424,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23235571,23235571,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23236109,23236109,1,"*","chr3",22419124,23239652,820529,"*","intergenic:2858",NA,NA,NA,"hg19_genes_intergenic"
"chr3",23241009,23241009,1,"*","chr3",23239653,23243652,4000,"+","1to5kb:13346","uc010hfc.2","7325","UBE2E2","hg19_genes_1to5kb"
"chr3",23241009,23241009,1,"*","chr3",23239784,23243783,4000,"+","1to5kb:13347","uc003ccg.2","7325","UBE2E2","hg19_genes_1to5kb"
"chr3",23243205,23243205,1,"*","chr3",23239653,23243652,4000,"+","1to5kb:13346","uc010hfc.2","7325","UBE2E2","hg19_genes_1to5kb"
"chr3",23243205,23243205,1,"*","chr3",23239784,23243783,4000,"+","1to5kb:13347","uc003ccg.2","7325","UBE2E2","hg19_genes_1to5kb"
"chr3",23243837,23243837,1,"*","chr3",23243653,23244652,1000,"+","promoter:13346","uc010hfc.2","7325","UBE2E2","hg19_genes_promoters"
"chr3",23243837,23243837,1,"*","chr3",23243784,23244783,1000,"+","promoter:13347","uc003ccg.2","7325","UBE2E2","hg19_genes_promoters"
"chr3",23245938,23245938,1,"*","chr3",23244754,23250182,5429,"+","intron:115918","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23245938,23245938,1,"*","chr3",23244956,23250182,5227,"+","intron:115922","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23258571,23258571,1,"*","chr3",23250367,23258752,8386,"+","intron:115919","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23258571,23258571,1,"*","chr3",23250367,23258752,8386,"+","intron:115923","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23258571,23258571,1,"*","chr3",23258553,23258952,400,"+","intronexonboundary:120628","uc010hfc.2","7325","UBE2E2","hg19_genes_intronexonboundaries"
"chr3",23258571,23258571,1,"*","chr3",23258553,23258952,400,"+","intronexonboundary:120629","uc003ccg.2","7325","UBE2E2","hg19_genes_intronexonboundaries"
"chr3",23258614,23258614,1,"*","chr3",23250367,23258752,8386,"+","intron:115919","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23258614,23258614,1,"*","chr3",23250367,23258752,8386,"+","intron:115923","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23258614,23258614,1,"*","chr3",23258553,23258952,400,"+","intronexonboundary:120628","uc010hfc.2","7325","UBE2E2","hg19_genes_intronexonboundaries"
"chr3",23258614,23258614,1,"*","chr3",23258553,23258952,400,"+","intronexonboundary:120629","uc003ccg.2","7325","UBE2E2","hg19_genes_intronexonboundaries"
"chr3",23261334,23261334,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23261334,23261334,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23261856,23261856,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23261856,23261856,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23261954,23261954,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23261954,23261954,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23264601,23264601,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23264601,23264601,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23265407,23265407,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23265407,23265407,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23267373,23267373,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23267373,23267373,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23268156,23268156,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23268156,23268156,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23269770,23269770,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23269770,23269770,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23272419,23272419,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23272419,23272419,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23276065,23276065,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23276065,23276065,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23276971,23276971,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23276971,23276971,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23279307,23279307,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23279307,23279307,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23279808,23279808,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23279808,23279808,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23280701,23280701,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23280701,23280701,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23280826,23280826,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23280826,23280826,1,"*","chr3",23258804,23541098,282295,"+","intron:115924","uc003ccg.2","7325","UBE2E2","hg19_genes_introns"
"chr3",23280931,23280931,1,"*","chr3",23258804,23574044,315241,"+","intron:115920","uc010hfc.2","7325","UBE2E2","hg19_genes_introns"
